Fr001,Fr001_WIT_ED_CRIT_C
Fr002,Fr002_WIT_ED_CRIT_C
Fr003,Fr003_WIT_ED_CRIT_C
Fr004,Fr004_WIT_ED_CRIT_C
Fr005,Fr005_WIT_ED_CRIT_C
Fr006,Fr006_WIT_ED_CRIT_C
Fr007,Fr007_WIT_ED_CRIT_C
Fr008,Fr008_WIT_ED_CRIT_C
Fr009,Fr009_WIT_ED_CRIT_C
Fr010,Fr010_WIT_ED_CRIT_C
Fr011,Fr011_WIT_ED_CRIT_C
Fr012,Fr012_WIT_ED_CRIT_C
Fr013,Fr013_WIT_ED_CRIT_C
Fr014,Fr014_WIT_ED_CRIT_C
Fr015,Fr015_WIT_ED_CRIT_C
Fr016,Fr016_WIT_ED_CRIT_C
Fr017,Fr017_WIT_ED_CRIT_C
Fr018,Fr018_WIT_ED_CRIT_C
Fr019,Fr019_WIT_ED_CRIT_C
Fr020,Fr020_WIT_ED_CRIT_C
Fr021,Fr021_WIT_ED_CRIT_C
Fr022,Fr022_WIT_ED_CRIT_C
Fr023,Fr023_WIT_ED_CRIT_C
Fr024,Fr024_WIT_ED_CRIT_C
Fr025,Fr025_WIT_ED_CRIT_C
Fr026,Fr026_WIT_ED_CRIT_C
Fr027,Fr027_WIT_ED_CRIT_C
Fr028,Fr028_WIT_ED_CRIT_C
Fr029,Fr029_WIT_ED_CRIT_C
Fr030,Fr030_WIT_ED_CRIT_C
Fr031,Fr031_WIT_ED_CRIT_C
Fr032,Fr032_WIT_ED_CRIT_C
Fr033,Fr033_WIT_ED_CRIT_C
Fr034,Fr034_WIT_ED_CRIT_C
Fr035,Fr035_WIT_ED_CRIT_C
Fr036,Fr036_WIT_ED_CRIT_C
Fr037,Fr037_WIT_ED_CRIT_C
Fr038,Fr038_WIT_ED_CRIT_C
Fr039,Fr039_WIT_ED_CRIT_C
Fr040,Fr040_WIT_ED_CRIT_C
Fr041,Fr041_WIT_ED_CRIT_C
Fr042,Fr042_WIT_ED_CRIT_C
Fr043,Fr043_WIT_ED_CRIT_C
Fr044,Fr044_WIT_ED_CRIT_C
Fr045,Fr045_WIT_ED_CRIT_C
Fr046,Fr046_WIT_ED_CRIT_C
Fr047,Fr047_WIT_ED_CRIT_C
Fr048,Fr048_WIT_ED_CRIT_C
