Fr001,Fr001_WIT_ED_CRIT_Z
Fr002,Fr002_WIT_ED_CRIT_Z
Fr003,Fr003_WIT_ED_CRIT_Z
Fr004,Fr004_WIT_ED_CRIT_Z
Fr005,Fr005_WIT_ED_CRIT_Z
Fr006,Fr006_WIT_ED_CRIT_Z
Fr007,Fr007_WIT_ED_CRIT_Z
Fr008,Fr008_WIT_ED_CRIT_Z
Fr009,Fr009_WIT_ED_CRIT_Z
Fr010,Fr010_WIT_ED_CRIT_Z
Fr011,Fr011_WIT_ED_CRIT_Z
Fr012,Fr012_WIT_ED_CRIT_Z
Fr013,Fr013_WIT_ED_CRIT_Z
Fr014,Fr014_WIT_ED_CRIT_Z
Fr015,Fr015_WIT_ED_CRIT_Z
Fr016,Fr016_WIT_ED_CRIT_Z
Fr017,Fr017_WIT_ED_CRIT_Z
Fr018,Fr018_WIT_ED_CRIT_Z
Fr019,Fr019_WIT_ED_CRIT_Z
Fr020,Fr020_WIT_ED_CRIT_Z
Fr021,Fr021_WIT_ED_CRIT_Z
Fr022,Fr022_WIT_ED_CRIT_Z
Fr023,Fr023_WIT_ED_CRIT_Z
Fr024,Fr024_WIT_ED_CRIT_Z
Fr025,Fr025_WIT_ED_CRIT_Z
Fr026,Fr026_WIT_ED_CRIT_Z
Fr027,Fr027_WIT_ED_CRIT_Z
Fr028,Fr028_WIT_ED_CRIT_Z
Fr029,Fr029_WIT_ED_CRIT_Z
Fr030,Fr030_WIT_ED_CRIT_Z
Fr031,Fr031_WIT_ED_CRIT_Z
Fr032,Fr032_WIT_ED_CRIT_Z
Fr033,Fr033_WIT_ED_CRIT_Z
Fr034,Fr034_WIT_ED_CRIT_Z
Fr035,Fr035_WIT_ED_CRIT_Z
Fr036,Fr036_WIT_ED_CRIT_Z
Fr037,Fr037_WIT_ED_CRIT_Z
Fr038,Fr038_WIT_ED_CRIT_Z
Fr039,Fr039_WIT_ED_CRIT_Z
Fr040,Fr040_WIT_ED_CRIT_Z
Fr041,Fr041_WIT_ED_CRIT_Z
Fr042,Fr042_WIT_ED_CRIT_Z
Fr043,Fr043_WIT_ED_CRIT_Z
Fr044,Fr044_WIT_ED_CRIT_Z
Fr045,Fr045_WIT_ED_CRIT_Z
Fr046,Fr046_WIT_ED_CRIT_Z
Fr047,Fr047_WIT_ED_CRIT_Z
Fr048,Fr048_WIT_ED_CRIT_Z
Fr049,Fr049_WIT_ED_CRIT_Z
Fr050,Fr050_WIT_ED_CRIT_Z
Fr051,Fr051_WIT_ED_CRIT_Z
Fr052,Fr052_WIT_ED_CRIT_Z
Fr053,Fr053_WIT_ED_CRIT_Z
Fr054,Fr054_WIT_ED_CRIT_Z
Fr055,Fr055_WIT_ED_CRIT_Z
Fr056,Fr056_WIT_ED_CRIT_Z
Fr057,Fr057_WIT_ED_CRIT_Z
Fr058,Fr058_WIT_ED_CRIT_Z
Fr059,Fr059_WIT_ED_CRIT_Z
Fr060,Fr060_WIT_ED_CRIT_Z
Fr061,Fr061_WIT_ED_CRIT_Z
Fr062,Fr062_WIT_ED_CRIT_Z
Fr063,Fr063_WIT_ED_CRIT_Z
Fr064,Fr064_WIT_ED_CRIT_Z
Fr065,Fr065_WIT_ED_CRIT_Z
Fr066,Fr066_WIT_ED_CRIT_Z
Fr067,Fr067_WIT_ED_CRIT_Z
Fr068,Fr068_WIT_ED_CRIT_Z
Fr069,Fr069_WIT_ED_CRIT_Z
Fr070,Fr070_WIT_ED_CRIT_Z
Fr071,Fr071_WIT_ED_CRIT_Z
Fr072,Fr072_WIT_ED_CRIT_Z
Fr073,Fr073_WIT_ED_CRIT_Z
Fr074,Fr074_WIT_ED_CRIT_Z
Fr075,Fr075_WIT_ED_CRIT_Z
Fr076,Fr076_WIT_ED_CRIT_Z
Fr077,Fr077_WIT_ED_CRIT_Z
Fr078,Fr078_WIT_ED_CRIT_Z
Fr079,Fr079_WIT_ED_CRIT_Z
Fr080,Fr080_WIT_ED_CRIT_Z
Fr081,Fr081_WIT_ED_CRIT_Z
Fr082,Fr082_WIT_ED_CRIT_Z
Fr083,Fr083_WIT_ED_CRIT_Z
Fr084,Fr084_WIT_ED_CRIT_Z
Fr085,Fr085_WIT_ED_CRIT_Z
Fr086,Fr086_WIT_ED_CRIT_Z
Fr087,Fr087_WIT_ED_CRIT_Z
Fr088,Fr088_WIT_ED_CRIT_Z
Fr089,Fr089_WIT_ED_CRIT_Z
Fr090,Fr090_WIT_ED_CRIT_Z
Fr091,Fr091_WIT_ED_CRIT_Z
Fr092,Fr092_WIT_ED_CRIT_Z
Fr093,Fr093_WIT_ED_CRIT_Z
Fr094,Fr094_WIT_ED_CRIT_Z
Fr095,Fr095_WIT_ED_CRIT_Z
Fr096,Fr096_WIT_ED_CRIT_Z
Fr097,Fr097_WIT_ED_CRIT_Z
Fr098,Fr098_WIT_ED_CRIT_Z
Fr099,Fr099_WIT_ED_CRIT_Z
Fr100,Fr100_WIT_ED_CRIT_Z
Fr101,Fr101_WIT_ED_CRIT_Z
Fr102,Fr102_WIT_ED_CRIT_Z
Fr103,Fr103_WIT_ED_CRIT_Z
Fr104,Fr104_WIT_ED_CRIT_Z
Fr105,Fr105_WIT_ED_CRIT_Z
Fr106,Fr106_WIT_ED_CRIT_Z
Fr107,Fr107_WIT_ED_CRIT_Z
Fr108,Fr108_WIT_ED_CRIT_Z
Fr109,Fr109_WIT_ED_CRIT_Z
Fr110,Fr110_WIT_ED_CRIT_Z
Fr111,Fr111_WIT_ED_CRIT_Z
Fr112,Fr112_WIT_ED_CRIT_Z
Fr113,Fr113_WIT_ED_CRIT_Z
