Fr001,Fr001_WIT_ED_CRIT_P
Fr002,Fr002_WIT_ED_CRIT_P
Fr003,Fr003_WIT_ED_CRIT_P
Fr004,Fr004_WIT_ED_CRIT_P
Fr005,Fr005_WIT_ED_CRIT_P
Fr006,Fr006_WIT_ED_CRIT_P
Fr007,Fr007_WIT_ED_CRIT_P
Fr008,Fr008_WIT_ED_CRIT_P
Fr009,Fr009_WIT_ED_CRIT_P
Fr010,Fr010_WIT_ED_CRIT_P
Fr011,Fr011_WIT_ED_CRIT_P
Fr012,Fr012_WIT_ED_CRIT_P
Fr013,Fr013_WIT_ED_CRIT_P
Fr014,Fr014_WIT_ED_CRIT_P
Fr015,Fr015_WIT_ED_CRIT_P
Fr016,Fr016_WIT_ED_CRIT_P
Fr017,Fr017_WIT_ED_CRIT_P
Fr018,Fr018_WIT_ED_CRIT_P
Fr019,Fr019_WIT_ED_CRIT_P
Fr020,Fr020_WIT_ED_CRIT_P
Fr021,Fr021_WIT_ED_CRIT_P
Fr022,Fr022_WIT_ED_CRIT_P
Fr023,Fr023_WIT_ED_CRIT_P
Fr024,Fr024_WIT_ED_CRIT_P
Fr025,Fr025_WIT_ED_CRIT_P
Fr026,Fr026_WIT_ED_CRIT_P
Fr027,Fr027_WIT_ED_CRIT_P
Fr028,Fr028_WIT_ED_CRIT_P
Fr029,Fr029_WIT_ED_CRIT_P
Fr030,Fr030_WIT_ED_CRIT_P
Fr031,Fr031_WIT_ED_CRIT_P
Fr032,Fr032_WIT_ED_CRIT_P
Fr033,Fr033_WIT_ED_CRIT_P
Fr034,Fr034_WIT_ED_CRIT_P
Fr035,Fr035_WIT_ED_CRIT_P
Fr036,Fr036_WIT_ED_CRIT_P
Fr037,Fr037_WIT_ED_CRIT_P
Fr038,Fr038_WIT_ED_CRIT_P
Fr039,Fr039_WIT_ED_CRIT_P
Fr040,Fr040_WIT_ED_CRIT_P
Fr041,Fr041_WIT_ED_CRIT_P
Fr042,Fr042_WIT_ED_CRIT_P
Fr043,Fr043_WIT_ED_CRIT_P
Fr044,Fr044_WIT_ED_CRIT_P
Fr045,Fr045_WIT_ED_CRIT_P
Fr046,Fr046_WIT_ED_CRIT_P
Fr047,Fr047_WIT_ED_CRIT_P
Fr048,Fr048_WIT_ED_CRIT_P
Fr049,Fr049_WIT_ED_CRIT_P
Fr050,Fr050_WIT_ED_CRIT_P
Fr051,Fr051_WIT_ED_CRIT_P
Fr052,Fr052_WIT_ED_CRIT_P
Fr053,Fr053_WIT_ED_CRIT_P
Fr054,Fr054_WIT_ED_CRIT_P
Fr055,Fr055_WIT_ED_CRIT_P
Fr056,Fr056_WIT_ED_CRIT_P
Fr057,Fr057_WIT_ED_CRIT_P
Fr058,Fr058_WIT_ED_CRIT_P
Fr059,Fr059_WIT_ED_CRIT_P
Fr060,Fr060_WIT_ED_CRIT_P
Fr061,Fr061_WIT_ED_CRIT_P
Fr062,Fr062_WIT_ED_CRIT_P
Fr063,Fr063_WIT_ED_CRIT_P
Fr064,Fr064_WIT_ED_CRIT_P
Fr065,Fr065_WIT_ED_CRIT_P
Fr066,Fr066_WIT_ED_CRIT_P
Fr067,Fr067_WIT_ED_CRIT_P
Fr068,Fr068_WIT_ED_CRIT_P
Fr069,Fr069_WIT_ED_CRIT_P
Fr070,Fr070_WIT_ED_CRIT_P
Fr071,Fr071_WIT_ED_CRIT_P
Fr072,Fr072_WIT_ED_CRIT_P
Fr073,Fr073_WIT_ED_CRIT_P
Fr074,Fr074_WIT_ED_CRIT_P
Fr075,Fr075_WIT_ED_CRIT_P
Fr076,Fr076_WIT_ED_CRIT_P
Fr077,Fr077_WIT_ED_CRIT_P
Fr078,Fr078_WIT_ED_CRIT_P
Fr079,Fr079_WIT_ED_CRIT_P
Fr080,Fr080_WIT_ED_CRIT_P
Fr081,Fr081_WIT_ED_CRIT_P
Fr082,Fr082_WIT_ED_CRIT_P
Fr083,Fr083_WIT_ED_CRIT_P
Fr084,Fr084_WIT_ED_CRIT_P
Fr085,Fr085_WIT_ED_CRIT_P
Fr086,Fr086_WIT_ED_CRIT_P
Fr087,Fr087_WIT_ED_CRIT_P
Fr088,Fr088_WIT_ED_CRIT_P
Fr089,Fr089_WIT_ED_CRIT_P
Fr090,Fr090_WIT_ED_CRIT_P
Fr091,Fr091_WIT_ED_CRIT_P
Fr092,Fr092_WIT_ED_CRIT_P
Fr093,Fr093_WIT_ED_CRIT_P
Fr094,Fr094_WIT_ED_CRIT_P
Fr095,Fr095_WIT_ED_CRIT_P
Fr096,Fr096_WIT_ED_CRIT_P
Fr097,Fr097_WIT_ED_CRIT_P
Fr098,Fr098_WIT_ED_CRIT_P
Fr099,Fr099_WIT_ED_CRIT_P
Fr100,Fr100_WIT_ED_CRIT_P
Fr101,Fr101_WIT_ED_CRIT_P
Fr102,Fr102_WIT_ED_CRIT_P
Fr103,Fr103_WIT_ED_CRIT_P
Fr104,Fr104_WIT_ED_CRIT_P
Fr105,Fr105_WIT_ED_CRIT_P
Fr106,Fr106_WIT_ED_CRIT_P
Fr107,Fr107_WIT_ED_CRIT_P
Fr108,Fr108_WIT_ED_CRIT_P
Fr109,Fr109_WIT_ED_CRIT_P
Fr110,Fr110_WIT_ED_CRIT_P
Fr111,Fr111_WIT_ED_CRIT_P
Fr112,Fr112_WIT_ED_CRIT_P
Fr113,Fr113_WIT_ED_CRIT_P
Fr114,Fr114_WIT_ED_CRIT_P
Fr115,Fr115_WIT_ED_CRIT_P
Fr116,Fr116_WIT_ED_CRIT_P
Fr117,Fr117_WIT_ED_CRIT_P
Fr118,Fr118_WIT_ED_CRIT_P
Fr119,Fr119_WIT_ED_CRIT_P
Fr120,Fr120_WIT_ED_CRIT_P
Fr121,Fr121_WIT_ED_CRIT_P
Fr122,Fr122_WIT_ED_CRIT_P
Fr123,Fr123_WIT_ED_CRIT_P
Fr124,Fr124_WIT_ED_CRIT_P
Fr125,Fr125_WIT_ED_CRIT_P
Fr126,Fr126_WIT_ED_CRIT_P
Fr127,Fr127_WIT_ED_CRIT_P
Fr128,Fr128_WIT_ED_CRIT_P
Fr129,Fr129_WIT_ED_CRIT_P
Fr130,Fr130_WIT_ED_CRIT_P
Fr131,Fr131_WIT_ED_CRIT_P
Fr132,Fr132_WIT_ED_CRIT_P
Fr133,Fr133_WIT_ED_CRIT_P
Fr134,Fr134_WIT_ED_CRIT_P
Fr135,Fr135_WIT_ED_CRIT_P
Fr136,Fr136_WIT_ED_CRIT_P
Fr137,Fr137_WIT_ED_CRIT_P
Fr138,Fr138_WIT_ED_CRIT_P
Fr139,Fr139_WIT_ED_CRIT_P
Fr140,Fr140_WIT_ED_CRIT_P
Fr141,Fr141_WIT_ED_CRIT_P
Fr142,Fr142_WIT_ED_CRIT_P
Fr143,Fr143_WIT_ED_CRIT_P
Fr144,Fr144_WIT_ED_CRIT_P
Fr145,Fr145_WIT_ED_CRIT_P
Fr146,Fr146_WIT_ED_CRIT_P
Fr147,Fr147_WIT_ED_CRIT_P
Fr148,Fr148_WIT_ED_CRIT_P
Fr149,Fr149_WIT_ED_CRIT_P
Fr150,Fr150_WIT_ED_CRIT_P
Fr151,Fr151_WIT_ED_CRIT_P
Fr152,Fr152_WIT_ED_CRIT_P
Fr153,Fr153_WIT_ED_CRIT_P
Fr154,Fr154_WIT_ED_CRIT_P
Fr155,Fr155_WIT_ED_CRIT_P
Fr156,Fr156_WIT_ED_CRIT_P
Fr157,Fr157_WIT_ED_CRIT_P
Fr158,Fr158_WIT_ED_CRIT_P
Fr159,Fr159_WIT_ED_CRIT_P
Fr160,Fr160_WIT_ED_CRIT_P
Fr161,Fr161_WIT_ED_CRIT_P
Fr162,Fr162_WIT_ED_CRIT_P
Fr163,Fr163_WIT_ED_CRIT_P
Fr164,Fr164_WIT_ED_CRIT_P
Fr165,Fr165_WIT_ED_CRIT_P
Fr166,Fr166_WIT_ED_CRIT_P
Fr167,Fr167_WIT_ED_CRIT_P
Fr168,Fr168_WIT_ED_CRIT_P
Fr169,Fr169_WIT_ED_CRIT_P
Fr170,Fr170_WIT_ED_CRIT_P
Fr171,Fr171_WIT_ED_CRIT_P
Fr172,Fr172_WIT_ED_CRIT_P
Fr173,Fr173_WIT_ED_CRIT_P
Fr174,Fr174_WIT_ED_CRIT_P
Fr175,Fr175_WIT_ED_CRIT_P
Fr176,Fr176_WIT_ED_CRIT_P
Fr177,Fr177_WIT_ED_CRIT_P
Fr178,Fr178_WIT_ED_CRIT_P
Fr179,Fr179_WIT_ED_CRIT_P
Fr180,Fr180_WIT_ED_CRIT_P
Fr181,Fr181_WIT_ED_CRIT_P
Fr182,Fr182_WIT_ED_CRIT_P
Fr183,Fr183_WIT_ED_CRIT_P
Fr184,Fr184_WIT_ED_CRIT_P
Fr185,Fr185_WIT_ED_CRIT_P
Fr186,Fr186_WIT_ED_CRIT_P
Fr187,Fr187_WIT_ED_CRIT_P
Fr188,Fr188_WIT_ED_CRIT_P
Fr189,Fr189_WIT_ED_CRIT_P
Fr190,Fr190_WIT_ED_CRIT_P
Fr191,Fr191_WIT_ED_CRIT_P
Fr192,Fr192_WIT_ED_CRIT_P
Fr193,Fr193_WIT_ED_CRIT_P
Fr194,Fr194_WIT_ED_CRIT_P
Fr195,Fr195_WIT_ED_CRIT_P
Fr196,Fr196_WIT_ED_CRIT_P
Fr197,Fr197_WIT_ED_CRIT_P
Fr198,Fr198_WIT_ED_CRIT_P
Fr199,Fr199_WIT_ED_CRIT_P
Fr200,Fr200_WIT_ED_CRIT_P
Fr201,Fr201_WIT_ED_CRIT_P
Fr202,Fr202_WIT_ED_CRIT_P
Fr203,Fr203_WIT_ED_CRIT_P
Fr204,Fr204_WIT_ED_CRIT_P
Fr205,Fr205_WIT_ED_CRIT_P
Fr206,Fr206_WIT_ED_CRIT_P
Fr207,Fr207_WIT_ED_CRIT_P
Fr208,Fr208_WIT_ED_CRIT_P
Fr209,Fr209_WIT_ED_CRIT_P
Fr210,Fr210_WIT_ED_CRIT_P
Fr211,Fr211_WIT_ED_CRIT_P
Fr212,Fr212_WIT_ED_CRIT_P
Fr213,Fr213_WIT_ED_CRIT_P
Fr214,Fr214_WIT_ED_CRIT_P
Fr215,Fr215_WIT_ED_CRIT_P
Fr216,Fr216_WIT_ED_CRIT_P
Fr217,Fr217_WIT_ED_CRIT_P
Fr218,Fr218_WIT_ED_CRIT_P
